ID,OEM,Model,Description,Image,Voltage,Minimum_Battery_Weight,Battery_Connector,Lead_Length,Termination,Length,Width,Height
77854,KOMATSU,FB20SH-4,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_716/abx3-6.jpg,36,2300.0,SB-350 Gray,18.0,B,39.2,28.0,24.0
77855,KOMATSU,FB20SH-5,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_716/abx3-6.jpg,36,2300.0,SB-350 Gray,18.0,B,39.2,28.0,24.0
77856,KOMATSU,FB20SH-5,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_716/abx3-6.jpg,48,2300.0,SB-350 Blue,18.0,B,39.2,28.0,24.0
77857,KOMATSU,FB25S-5,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_716/bx4-6.jpg,36,2300.0,SB-350 Gray,18.0,B,39.2,28.0,24.0
77858,KOMATSU,FB25S-5,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_716/bx4-6.jpg,48,2300.0,SB-350 Blue,18.0,B,39.2,28.0,24.0
77859,KOMATSU,FB25SH-4,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_716/abx3-6.jpg,36,2300.0,SB-350 Gray,18.0,B,39.2,28.0,24.0
77860,KOMATSU,FB25SH-5,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_716/abx3-6.jpg,36,2300.0,SB-350 Gray,18.0,B,39.2,28.0,24.0
77861,KOMATSU,FB25SH-5,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_716/abx3-6.jpg,48,2300.0,SB-350 Blue,18.0,B,39.2,28.0,24.0
77863,KOMATSU,FB30SH-4,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_716/abx3-6.jpg,36,3000.0,SB-350 Gray,18.0,B,39.2,33.4,23.6
77864,KOMATSU,FB30SH-5,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_716/abx3-6.jpg,36,3000.0,SB-350 Gray,18.0,B,39.2,33.4,23.6
77865,KOMATSU,FB30SH-5,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_716/abx3-6.jpg,48,3000.0,SB-350 Blue,18.0,B,33.4,39.2,24.0
77867,KOMATSU,FB15SH-7,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_716/abx.jpg,48,1940.0,SB-350 Blue,14.0,B,36.2,27.0,24.2
77869,YALE,MRW030-E,Walkie High-Lift Reach,http://www.EQGURU.com/images/L/T_726/mrw-e.jpg,24,800.0,SB-175 Red,20.0,B,33.0,13.5,24.0
77870,KALMAR AC,E50BBXH,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_714/bbx.jpg,36,2300.0,SB-350 Gray,18.0,B,39.2,28.0,24.0
77871,KALMAR AC,E50BBXH,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_714/bbx.jpg,48,2300.0,SB-350 Blue,18.0,B,39.2,28.0,24.0
77872,KALMAR AC,E50BBXHL,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_714/bbx.jpg,36,3000.0,SB-350 Gray,18.0,B,39.2,33.4,24.0
77873,KALMAR AC,E50BBXHL,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_714/bbx.jpg,48,3000.0,SB-350 Blue,18.0,B,39.2,33.4,24.0
77875,KALMAR AC,E60BBXH,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_714/bbx.jpg,36,3000.0,SB-350 Gray,18.0,B,39.2,33.4,24.0
77876,KALMAR AC,E60BBXH,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_714/bbx.jpg,48,3000.0,SB-350 Blue,18.0,B,39.2,33.4,24.0
77882,KALMAR AC,E30ABX,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_714/abx.jpg,36,1940.0,SB-350 Gray,14.0,B,36.2,27.0,24.2
