ID,CategoryID,OptionID,Description,Plate_AH_Rating,CELL,TYPE,PLATES,Total_AH_Rating,VOLTAGE,Battery_Weight
180,BASE_PART_IB,57-1550,24 CELL 85 AH 27 PLT - 1105 AH,85,24,75-85-105,27,1105,48,4350
181,BASE_PART_IB,57-1560,24 CELL 85 AH 29 PLT - 1190 AH,85,24,75-85-105,29,1190,48,4710
182,BASE_PART_IB,57-1570,24 CELL 85 AH 31 PLT - 1275 AH,85,24,75-85-105,31,1275,48,5000
183,BASE_PART_IB,57-1580,24 CELL 85 AH 33 PLT - 1360 AH,85,24,75-85-105,33,1360,48,5380
184,BASE_PART_IB,57-1850,24 CELL 125 AH 05 PLT - 250 AH,125,24,110-125-145,5,250,48,1470
185,BASE_PART_IB,57-1860,24 CELL 125 AH 07 PLT - 375 AH,125,24,110-125-145,7,375,48,1760
186,BASE_PART_IB,57-1870,24 CELL 125 AH 09 PLT - 500 AH,125,24,110-125-145,9,500,48,2090
187,BASE_PART_IB,57-1880,24 CELL 125 AH 11 PLT - 625 AH,125,24,110-125-145,11,625,48,2520
188,BASE_PART_IB,57-1890,24 CELL 125 AH 13 PLT - 750 AH,125,24,110-125-145,13,750,48,2880
189,BASE_PART_IB,57-1900,24 CELL 125 AH 15 PLT - 875 AH,125,24,110-125-145,15,875,48,3360
190,BASE_PART_IB,57-1910,24 CELL 125 AH 17 PLT-1000 AH,125,24,110-125-145,17,1000,48,3800
191,BASE_PART_IB,57-1920,24 CELL 125 AH 19 PLT-1125 AH,125,24,110-125-145,19,1125,48,4280
192,BASE_PART_IB,57-1930,24 CELL 125 AH 21 PLT-1250 AH,125,24,110-125-145,21,1250,48,4850
193,BASE_PART_IB,57-1940,24 CELL 125 AH 23 PLT - 1375 AH,125,24,110-125-145,23,1375,48,5350
194,BASE_PART_IB,57-1970,24 CELL 125 AH 29 PLT-1750 AH,125,24,110-125-145,29,1750,48,6460
195,BASE_PART_IB,57-1990,24 CELL 125 AH 33 PLT-2000 AH,125,24,110-125-145,33,2000,48,7224
196,BASE_PART_IB,57-2090,24 CELL 100 AH 05 PLT - 200 AH,100,24,90-100,5,200,48,1160
197,BASE_PART_IB,57-2110,24 CELL 100 AH 09 PLT - 400 AH,100,24,90-100,9,400,48,1730
198,BASE_PART_IB,57-2120,24 CELL 100 AH 11 PLT - 500 AH,100,24,90-100,11,500,48,2040
199,BASE_PART_IB,57-2130,24 CELL 100 AH 13 PLT - 600 AH,100,24,90-100,13,600,48,2500
200,BASE_PART_IB,57-2140,24 CELL 100 AH 15 PLT - 700 AH,100,24,90-100,15,700,48,2810
201,BASE_PART_IB,57-2150,24 CELL 100 AH 17 PLT - 800 AH,100,24,90-100,17,800,48,3200
202,BASE_PART_IB,57-2160,24 CELL 100 AH 19 PLT - 900 AH,100,24,90-100,19,900,48,3480
203,BASE_PART_IB,57-2170,24 CELL 100 AH 21 PLT-1000 AH,100,24,90-100,21,1000,48,3800
204,BASE_PART_IB,57-2180,24 CELL 100 AH 23 PLT-1100 AH,100,24,90-100,23,1100,48,4160
205,BASE_PART_IB,57-2190,24 CELL 100 AH 25 PLT-1200 AH,100,24,90-100,25,1200,48,4490
206,BASE_PART_IB,57-2370,24 CELL 100 AH 29 PLT-1400 AH,100,24,90-100,29,1400,48,5160
207,BASE_PART_IB,58-1480,20 CELL 85 AH 13 PLT - 510 AH,85,20,75-85-105,13,510,40,1720
208,BASE_PART_IB,58-1490,36 CELL 85 AH 13 PLT - 510 AH,85,36,75-85-105,13,510,72,3120
209,BASE_PART_IB,58-1494,36 CELL 85 AH 13 PLT - 510 AH,85,36,75-85-105,13,510,72,3100
210,BASE_PART_IB,58-1510,32 CELL 85 AH 19 PLT - 765 AH,85,32,75-85-105,19,765,64,4130
211,BASE_PART_IB,58-1515,36 CELL 85 AH 19 PLT - 765 AH,85,36,75-85-105,19,765,72,4650
212,BASE_PART_IB,58-1520,32 CELL 85 AH 21 PLT - 850 AH,85,32,75-85-105,21,850,64,4230
213,BASE_PART_IB,58-1540,32 CELL 85 AH 25 PLT - 1020 AH,85,32,75-85-105,25,1020,64,5380
214,BASE_PART_IB,58-1880,32 CELL 125 AH 11 PLT-625 AH,125,32,110-125-145,11,625,64,3360
215,BASE_PART_IB,58-1885,36 CELL 125 AH 11 PLT - 625 AH,125,36,110-125-145,11,625,72,3780
216,BASE_PART_IB,58-1910,32 CELL 125 AH 17 PLT-1000 AH,125,32,110-125-145,17,1000,64,5060
217,BASE_PART_IB,58-1930,32 CELL 125 AH 21 PLT-1250 AH,125,32,110-125-145,21,1250,64,6470
218,BASE_PART_IB,58-1950,32 CELL 125 AH 25 PLT-1500 AH,125,32,110-125-145,25,1500,64,7590
219,BASE_PART_IB,58-2170,32 CELL 100 AH 21 PLT-1000 AH,100,32,90-100,21,1000,64,5060
220,BASE_PART_IB,58-2190,32 CELL 100 AH 25 PLT-1200 AH,100,32,90-100,25,1200,64,5990
221,BASE_PART_IB,59-1020,36 CELL 45 AH 09 PLT - 180 AH,45,36,45,9,180,72,1300
222,BASE_PART_IB,59-1020-30,30 CELL 45 AH 09 PLT - 180 AH,45,30,45,9,180,60,1080
223,BASE_PART_IB,59-1040,36 CELL 45 AH 13 PLT - 270 AH,45,36,45,13,270,72,1730
224,BASE_PART_IB,59-1060-20,20 CELL 45 AH 17 PLT - 360 AH,45,20,45,17,360,40,1320
225,BASE_PART_IB,59-1060-40,40 CELL 45 AH 17 PLT - 360 AH,45,40,45,17,360,80,2650
226,BASE_PART_IB,59-1460-40,40 CELL 85 AH 09 PLT 340 AH,85,40,75-85-105,9,340,80,2670
227,BASE_PART_IB,59-1460-70,70 CELL 85 AH 09 PLT - 340 AH,85,70,75-85-105,9,340,140,4410
228,BASE_PART_IB,59-1470,60 CELL 85 AH 11 PLT - 425 AH,85,60,75-85-105,11,425,120,4680
229,BASE_PART_IB,59-1470-40,40 CELL 85 AH 11 PLT - 425 AH,85,40,75-85-105,11,425,80,3310
230,BASE_PART_IB,59-1470-64,64 CELL 85 AH 11 PLT - 425 AH,85,64,75-85-105,11,425,128,5000
231,BASE_PART_IB,59-1475,30 CELL 85 AH 11 PLT - 425 AH,85,30,75-85-105,11,425,60,2340
232,BASE_PART_IB,59-1480,38 CELL 85 AH 13 PLT - 510 AH,85,38,75-85-105,13,510,76,3100
233,BASE_PART_IB,59-1480-40,40 CELL 85 AH 13 PLT - 510 AH,85,40,75-85-105,13,510,80,3650
234,BASE_PART_IB,59-1480-40-2,40 CELL 85 AH 13 PLT - 510 AH,85,40,75-85-105,13,510,80,3650
235,BASE_PART_IB,59-1480-40-3,40 CELL 85 AH 13 PLT - 510 AH,85,40,75-85-105,13,510,80,3650
236,BASE_PART_IB,59-1480-48,48 CELL 85 AH 13 PLT - 510 AH,85,48,75-85-105,13,510,96,4380
237,BASE_PART_IB,59-1485,30 CELL 85 AH 13 PLT - 510 AH,85,30,75-85-105,13,510,60,2580
238,BASE_PART_IB,59-1490,30 CELL 85 AH 15 PLT - 595 AH,85,30,75-85-105,15,595,60,3030
239,BASE_PART_IB,59-1490-10,10 CELL 85 AH 15 PLT - 595 AH,85,10,75-85-105,15,595,20,1010
240,BASE_PART_IB,59-1490-40,40 CELL 85 AH 15 PLT - 595 AH,85,40,75-85-105,15,595,80,4280
241,BASE_PART_IB,59-1490-8,8 CELL 85 AH 15 PLT - 595 AH,85,8,75-85-105,15,595,16,810
242,BASE_PART_IB,59-1495,48 CELL 85 AH 15 PLT - 595 AH,85,48,75-85-105,15,595,96,5140
243,BASE_PART_IB,59-1500-20,20 CELL 85 AH 17 PLT - 680 AH,85,20,75-85-105,17,680,40,2300
244,BASE_PART_IB,59-1500-40,40 CELL 85 AH 17 PLT - 680 AH,85,40,75-85-105,17,680,80,4880
245,BASE_PART_IB,59-1510-40,40 CELL 85 AH 19 PLT - 765 AH,85,40,75-85-105,19,765,80,5470
246,BASE_PART_IB,59-1520-20,20 CELL 85 AH 21 PLT - 850 AH,85,20,75-85-105,21,850,40,2640
247,BASE_PART_IB,59-1520-30,30 CELL 85 AH 21 PLT - 850 AH,85,30,75-85-105,21,850,60,4240
248,BASE_PART_IB,59-1520-36,36 CELL 85 AH 21 PLT-850 AH,85,36,75-85-105,21,850,72,4752
249,BASE_PART_IB,59-1520-64,64 CELL 85 AH 21 PLT - 850 AH,85,64,75-85-105,21,850,128,8450
250,BASE_PART_IB,59-1540,64 CELL 85 AH 25 PLT - 1020 AH,85,64,75-85-105,25,1020,128,10760
251,BASE_PART_IB,59-1540-10,10 CELL 85 AH 25 PLT - 1020 AH,85,10,75-85-105,25,1020,20,1680
252,BASE_PART_IB,59-1540-8,8 CELL 85 AH 25 PLT - 1020 AH,85,8,75-85-105,25,1020,16,1344
253,BASE_PART_IB,59-1570,30 CELL 85 AH 31 PLT - 1275 AH,85,30,75-85-105,31,1275,60,6240
254,BASE_PART_IB,59-1860-25,25 CELL 125 AH 07 PLT - 375 AH,125,25,110-125-145,7,375,50,1830
255,BASE_PART_IB,59-1860-36,36 CELL 125 AH 07 PLT - 375 AH,125,36,110-125-145,7,375,72,2630
256,BASE_PART_IB,59-1860-40,40 CELL 125 AH 07 PLT - 375 AH,125,40,110-125-145,7,375,80,3100
257,BASE_PART_IB,59-1870,40 CELL 125 AH 09 PLT - 500 AH,125,40,110-125-145,9,500,80,3690
258,BASE_PART_IB,59-1870-36,36 CELL 125 AH 09 PLT - 500 AH,125,36,110-125-145,9,500,72,3140
259,BASE_PART_IB,59-1880,30 CELL 125 AH 11 PLT - 625 AH,125,30,110-125-145,11,625,60,3150
260,BASE_PART_IB,59-1880-10,10 CELL 125 AH 11 PLT - 625 AH,125,10,110-125-145,11,625,20,1050
261,BASE_PART_IB,59-1880-26,26 CELL 125 AH 11 PLT - 625 AH,125,26,110-125-145,11,625,52,2730
262,BASE_PART_IB,59-1880-40,40 CELL 125 AH 11 PLT - 625 AH,125,40,110-125-145,11,625,80,4450
